,player_name,age,fee,transfer_period,season,Squad,player_code
3061,Giorgi Makaridze,32.0,0.0,Winter,2022/2023,Marítimo,giorgi-makaridze90
3070,Carlos Eduardo,26.0,0.0,Winter,2022/2023,Estoril,carlos-eduardo96
3071,João Gamboa,26.0,0.0,Winter,2022/2023,Estoril,joao-gamboa96
3072,Cassiano,33.0,0.0,Winter,2022/2023,Estoril,cassiano89
3076,Pablo,18.0,0.0,Winter,2022/2023,Famalicão,pablo04
3082,Marcelo Carné,32.0,0.0,Winter,2022/2023,Marítimo,marcelo-carne90
3083,Félix Correia,22.0,0.0,Winter,2022/2023,Marítimo,felix-correia01
3084,Paulinho,31.0,0.0,Winter,2022/2023,Marítimo,paulinho00
3097,Brayan Riascos,28.0,0.0,Winter,2022/2023,Marítimo,brayan-riascos94
3107,Léo Andrade,24.0,0.0,Winter,2022/2023,FC Khimki,leo-andrade98
3108,Steven Vitória,35.0,0.0,Summer,2022/2023,Chaves,steven-vitoria87
3109,Yuki Soma,25.0,0.0,Winter,2022/2023,Casa Pia,yuki-soma97
3110,Hélder Morim,21.0,0.0,Summer,2022/2023,Chaves,helder-morim01
3111,Rui Gomes,24.0,0.0,Summer,2022/2023,Portimonense,rui-gomes97
3121,Beto,24.0,7000000.0,Summer,2022/2023,Udinese,beto98
3123,Henrique,27.0,0.0,Summer,2022/2023,Portimonense,henrique94
3127,Bruno Reis,22.0,0.0,Summer,2022/2023,Portimonense,bruno-reis99
3128,Paulo Estrela,23.0,0.0,Summer,2022/2023,Portimonense,paulo-estrela-moreira99
3133,Bryan Róchez,27.0,0.0,Summer,2022/2023,Portimonense,bryan-rochez95
3134,Gonçalo Costa,22.0,0.0,Summer,2022/2023,Portimonense,goncalo-costa00
3140,Pedro Silva,25.0,0.0,Summer,2022/2023,Estoril,joao-pedro-silva99
3147,Monsuru Opeyemi,18.0,0.0,Summer,2022/2023,Vizela,monsuru-opeyemi03
3148,Hugo Oliveira,20.0,0.0,Summer,2022/2023,Vizela,hugo-oliveira02
3153,Alexander Schmidt,24.0,0.0,Summer,2022/2023,Vizela,alexander-schmidt98
3154,Matheus Pereira,21.0,0.0,Summer,2022/2023,Vizela,matheus-pereira00
3155,Fabijan Buntic,25.0,0.0,Summer,2022/2023,Vizela,fabijan-buntic97
3156,Carlos Isaac,24.0,0.0,Summer,2022/2023,Vizela,carlos-isaac98
3161,Moustapha Seck,26.0,0.0,Summer,2022/2023,Portimonense,moustapha-seck96
3162,Zié Ouattara,22.0,0.0,Summer,2022/2023,Portimonense,aziz-ouattara01
3164,Yago Cariello,22.0,0.0,Summer,2022/2023,Portimonense,yago-cariello99
3165,Martim Tavares,18.0,0.0,Summer,2022/2023,Boavista,martim-tavares03
3166,Joel Silva,19.0,0.0,Summer,2022/2023,Boavista,joel-silva03
3171,Bruno Onyemaechi,23.0,0.0,Summer,2022/2023,Boavista,bruno-onyemaechi99
3172,Robert Bozenik,22.0,0.0,Summer,2022/2023,Boavista,robert-bozenik99
3173,Ilija Vukotic,23.0,0.0,Summer,2022/2023,Boavista,ilija-vukotic99
3174,Vincent Sasso,31.0,0.0,Summer,2022/2023,Boavista,vincent-sasso91
3175,Salvador Agra,30.0,0.0,Summer,2022/2023,Boavista,salvador-agra91
3176,Bruno Lourenço,24.0,0.0,Summer,2022/2023,Boavista,bruno-lourenco98
3177,César,30.0,0.0,Summer,2022/2023,Boavista,cesar92
3189,Ricardo Mangas,24.0,0.0,Summer,2022/2023,Boavista,ricardo-mangas98
3190,Alberth Elis,26.0,0.0,Summer,2022/2023,Boavista,alberth-elis96
