Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/420040/Show/Mathias-Fixelles,	157,Mathias Fixelles,https://www.whoscored.com/Teams/238/Show/Belgium-Westerlo,"Westerlo, ",27,",  M(CR)  ",19(9),1641	,2	,-	,4	,0.6	,78.6	,0.3	,1	,6.60
https://www.whoscored.com/Players/93937/Show/Massimo-Bruno,	158,Massimo Bruno,https://www.whoscored.com/Teams/886/Show/Belgium-Kortrijk,"Kortrijk, ",30,",  M(CLR)  ",13(9),1209	,3	,2	,3	,1.1	,74.4	,0.3	,1	,6.60
https://www.whoscored.com/Players/383089/Show/Ravil-Tagir,	159,Ravil Tagir,https://www.whoscored.com/Teams/238/Show/Belgium-Westerlo,"Westerlo, ",20,",  D(C)  ",21(5),1948	,-	,1	,2	,0.2	,87.4	,1.1	,-	,6.60
https://www.whoscored.com/Players/253417/Show/Konstantinos-Laifis,	160,Konstantinos Laifis,https://www.whoscored.com/Teams/261/Show/Belgium-Standard-Liege,"Standard Liege, ",30,",  D(CL)  ",26(1),2277	,1	,-	,6	,0.8	,84.1	,2.2	,1	,6.60
https://www.whoscored.com/Players/420045/Show/Junior-Sambu-Mansoni,	161,Junior Sambu Mansoni,https://www.whoscored.com/Teams/5747/Show/Belgium-RFC-Seraing,"RFC Seraing, ",27,",  D(R),M(R)  ",22(10),2049	,-	,1	,6	,0.4	,72.9	,0.6	,1	,6.59
https://www.whoscored.com/Players/320609/Show/Gustaf-Nilsson,	162,Gustaf Nilsson,https://www.whoscored.com/Teams/2647/Show/Belgium-Union-St-Gilloise,"Union St.Gilloise, ",26,",  FW  ",7(17),885	,5	,-	,3	,1.2	,59	,1.6	,1	,6.59
https://www.whoscored.com/Players/294044/Show/Amadou-Diawara,	163,Amadou Diawara,https://www.whoscored.com/Teams/240/Show/Belgium-Anderlecht,"Anderlecht, ",26,",  DMC  ",18(3),1476	,1	,1	,5	,0.5	,83.4	,0.2	,-	,6.59
https://www.whoscored.com/Players/399710/Show/Aboubakary-Ko%C3%AFta,	164,Aboubakary Koïta,https://www.whoscored.com/Teams/239/Show/Belgium-St-Truiden,"St.Truiden, ",25,",  M(CL),FW  ",12(17),1349	,-	,2	,3	,1.4	,76.7	,0.4	,2	,6.58
https://www.whoscored.com/Players/400036/Show/Youssouph-Badji,	165,Youssouph Badji,https://www.whoscored.com/Teams/260/Show/Belgium-Sporting-Charleroi,"Sporting Charleroi, ",22,",  FW  ",12(14),1177	,5	,-	,2	,1.3	,69.5	,2.8	,-	,6.58
https://www.whoscored.com/Players/67073/Show/Anthony-Moris,	166,Anthony Moris,https://www.whoscored.com/Teams/2647/Show/Belgium-Union-St-Gilloise,"Union St.Gilloise, ",34,",  GK  ",34,3060	,-	,-	,4	,-	,72.9	,0.3	,-	,6.58
